Year,Owner Move In,Ellis Act Withdrawal,Demolition,Development Agreement,Condo Conversion
1990,3,0,0,0,0
1991,144,0,7,0,3
1992,158,0,3,0,0
1993,292,1,20,0,0
1994,304,0,28,0,0
1995,351,0,27,0,1
1996,691,1,31,0,0
1997,1182,6,52,0,1
1998,1528,95,60,0,1
1999,865,420,47,0,2
2000,1003,274,71,0,4
2001,798,194,98,0,7
2002,544,176,74,0,4
2003,356,145,92,0,8
2004,345,293,66,0,8
2005,264,293,61,0,0
2006,226,261,42,0,3
2007,181,236,43,0,3
2008,167,194,38,0,2
2009,120,48,33,0,2
2010,128,70,30,106,4
2011,123,54,37,0,2
2012,173,97,43,232,10
2013,271,231,127,0,12
2014,294,85,41,0,8
